rank,game,regions,may_2026_usd,june_2026_usd,january_2026_usd,february_2026_usd,march_2026_usd,april_2026_usd
1,Love and Deepspace,GLOBAL;CN;JP;KR;TW/HK/MO,48975000,38375000,35620000,32020000,40730000,36330000
2,Wuthering Waves,GLOBAL;CN,31750000,34000000,19150000,46000000,11400000,14700000
3,Genshin Impact,GLOBAL;CN;VN,41655000,32330000,66040000,55240000,40110000,40100000
4,Honkai: Star Rail,GLOBAL;CN;VN,38765000,28455000,8040000,21140000,31730000,58100000
5,Naruto Mobile,CN,27500000,24750000,44000000,38500000,22000000,24750000
6,Monster Strike,JP;TW/HK/MO,14500000,16400000,28600000,14400000,12300000,19500000
7,Dragon Ball Legends,GLOBAL;JP,13500000,15600000,13400000,10400000,7300000,6300000
8,Fate/Grand Order,GLOBAL;CN;JP;KR;TW/HK/MO,15620000,14015000,32700000,13310000,12780000,10980000
9,Pokémon TCG Pocket,GLOBAL,25000000,14000000,35000000,27000000,27000000,22000000
10,Neverness to Everness,GLOBAL;CN;TW/HK/MO,23575000,13950000,,,,6740000
11,Arknights,GLOBAL;CN;JP;KR;TW/HK/MO,30350000,13620000,16950000,24300000,9470000,21350000
12,Puzzles & Dragons,GLOBAL;JP;KR;TW/HK/MO,10400000,13460000,,,,
13,GODDESS OF VICTORY: NIKKE,GLOBAL;CN;TW/HK/MO,29500000,13175000,19650000,13350000,11900000,23130000
14,Light and Night,CN;KR;TW/HK/MO;SEA,5568000,11340000,,,,
15,Sword x Staff,GLOBAL,4000000,11000000,,,,
16,SD Gundam G Generation ETERNAL,GLOBAL;JP,10000000,10000000,19000000,12000000,8000000,28000000
17,Zenless Zone Zero,GLOBAL;CN;JP;KR;TW/HK/MO,9370000,9655000,23250000,13350000,16440000,7170000
18,Umamusume: Pretty Derby,GLOBAL;CN;JP;KR;TW/HK/MO,11085000,9575000,15930000,18020000,34160000,9320000
19,Arknights: Endfield,GLOBAL;CN;VN,4766000,9520000,28550000,26080000,22050000,17280000
20,The Battle Cats,GLOBAL;JP;KR;TW/HK/MO,10900000,7400000,,,,
21,Blue Archive,GLOBAL;CN;JP;KR,3350000,6935000,11270000,7860000,2960000,2820000
22,Chaos Zero Nightmare,GLOBAL;CN,6650000,6800000,5000000,3000000,1700000,2000000
23,DRAGON BALL Z DOKKAN BATTLE,GLOBAL;JP,8900000,6700000,20000000,35000000,15000000,8000000
24,Infinity Nikki,GLOBAL;CN;JP,6140000,6140000,9430000,6290000,9550000,6490000
25,Gakuen iDOLM@STER,JP,12000000,6000000,,,,
26,LifeMakeOver,GLOBAL;CN;JP;KR;ASIA;VN,3211000,5887000,3340000,6030000,6040000,3240000
27,Onmyoji,GLOBAL;CN;JP;TW/HK/MO,8492750,5782750,57790000,8570000,8590000,5800000
28,HATSUNE MIKU: COLORFUL STAGE!,GLOBAL;CN;JP;KR;TW/HK/MO,5850000,5750000,,,,
29,Mahjong Soul,GLOBAL;JP;KR,2790000,5250000,,,,
30,Trickal: Chibi Go,GLOBAL;CN;KR,3072500,5182500,4850000,3480000,4290000,4140000
31,Summoners War,GLOBAL,7000000,5000000,6000000,8000000,6000000,8000000
32,BrownDust2,GLOBAL,1100000,5000000,,,,
33,Marvel Contest of Champions,GLOBAL,5000000,5000000,,,,
34,Dragon Traveler,GLOBAL;CN;TW/HK/MO,4150000,4688000,,,,
35,The Seven Deadly Sins: Grand Cross,GLOBAL;JP;KR,1600000,4670000,4550000,3240000,2740000,3040000
36,Azur Lane,GLOBAL;CN;JP;KR;TW/HK/MO,5654000,4480000,4710000,5210000,4580000,3710000
37,ENSEMBLE STARS,GLOBAL;CN;JP;KR,4740000,4425000,,,,
38,DRAGON QUEST Smash/Grow,GLOBAL;JP,7000000,4400000,,,,
39,Shadowverse: Worlds Beyond,GLOBAL;CN,2837500,4250000,,,,
40,Yu-Gi-Oh! Master Duel,GLOBAL,1900000,4000000,4000000,5000000,3000000,2000000
41,ONE PIECE Bounty Rush,GLOBAL;JP,7300000,3600000,10500000,1000000,9500000,4500000
42,ONE PIECE TREASURE CRUISE,GLOBAL;JP,7800000,3500000,,,,
43,Reverse: 1999,GLOBAL;CN;JP;KR;TW/HK/MO,6940000,3400000,7510000,3880000,3660000,4450000
44,Jujutsu Kaisen Phantom Parade,GLOBAL;JP,3200000,3400000,7500000,4400000,4000000,2500000
45,Epic Seven,GLOBAL;CN,1355000,3055000,,,,
46,GIRLS' FRONTLINE 2: EXILIUM,GLOBAL;CN,2150000,3025000,2650000,2520000,3300000,3100000
47,Shining Nikki,GLOBAL;CN;JP;TW/HK/MO;VN,3012000,2999000,3060000,3110000,2760000,3010000
48,Persona 5: The Phantom X,GLOBAL;CN;JP;KR;TW/HK/MO;SEA,2675000,2974000,2180000,1830000,2120000,2270000
49,Watcher of Realms,GLOBAL;CN;ASIA,3950000,2955000,45590000,4580000,4670000,3950000
50,The Seven Deadly Sins: Origins,GLOBAL,1600000,2800000,,,2800000,5000000
51,Isekai:Slow Life,GLOBAL,1700000,2800000,,,,
52,Limbus Company,GLOBAL,1800000,2800000,,,,
53,Beyond the World,CN,5500000,2750000,,,,
54,BLEACH: Soul Resonance,NA;EU;ASIA,2400000,2700000,4800000,5300000,2390000,1920000
55,Punishing: Gray Raven,GLOBAL;CN;JP,1055000,2150000,690000,1410000,1070000,1090000
56,Heaven Burns Red,GLOBAL;CN;JP,1615000,2095000,,,,
57,CookieRun: Kingdom,GLOBAL,5000000,2000000,7000000,5000000,4000000,5000000
58,Fire Emblem Heroes,GLOBAL,2000000,2000000,,,,
59,MementoMori,GLOBAL,4000000,2000000,,,,
60,Seven Knights Re:BIRTH,GLOBAL,3000000,1800000,4000000,4000000,3000000,2000000
61,Wizardry Variants Daphne,GLOBAL,2000000,1700000,,,,
62,Paranoize,GLOBAL,1500000,1700000,,,,
63,Solo Leveling:ARISE,GLOBAL,2000000,1600000,1600000,1700000,1500000,1200000
64,Pokémon Masters EX,GLOBAL,1800000,1600000,,,,
65,BLUE LOCK Project: World Champion,GLOBAL;JP,800000,1600000,,,,
66,DissidiumDuellum Final Fantasy,GLOBAL,1900000,1600000,,,,
67,AFK Arena,GLOBAL;CN;JP,1880000,1595000,,,,
68,Tokyo Debunker,GLOBAL,1800000,1500000,,,,
69,Disney Twisted-Wonderland,GLOBAL;JP,1800000,1400000,,,,
70,Tears of Themis,GLOBAL;CN;TW/HK/MO,1980000,1330000,,,,
71,BanG Dream! Girls Band Party!,GLOBAL;CN;JP,1480000,1275000,,,,
72,Princess Connect! Re:Dive,CN;JP;KR;TW/HK/MO,1245000,1247500,,,,
73,Lovebrush Chronicles,CN;GLOBAL;TW/HK/MO,1177000,1230000,,,,
74,AFK Journey,GLOBAL;CN;VN,2115000,1228500,1910000,1700000,1700000,1200000
75,Path to Nowhere,GLOBAL;CN,2825000,1225000,,,,
76,Honkai Impact 3rd,GLOBAL;CN;JP;KR;TW/HK/MO;VN;AU,1713000,1183000,1260000,1540000,1760000,1720000
77,Dragon Raja : ReRise,GLOBAL;CN;TW/HK/MO,710000,1178000,700000,1000000,1290000,710000
78,Langrisser,GLOBAL;CN;JP;KR,1225000,1118000,,,,
79,SLIME - ISEKAI Memories: Tensura,GLOBAL;JP,1900000,1100000,,,,
80,Grand Summoners,GLOBAL;JP,790000,1100000,,,,
81,Evertale,GLOBAL;JP,880000,880000,1300000,1000000,1100000,900000
82,Octopath Traveler: Champions of the Continent,GLOBAL;CN;JP;TW/HK/MO,625000,810000,,,,
83,MONGIL: STAR DIVE,GLOBAL,2800000,800000,,,,
84,Madoka Magica Magia Exedra,GLOBAL;JP,1010000,790000,,,,
85,Last Cloudia,GLOBAL;JP;KR;TW/HK/MO,561000,771000,,,,
86,StarSavior,GLOBAL,700000,680000,,,,
87,Another Eden,GLOBAL;CN;JP,815000,664750,,,,
88,FINAL FANTASY VII EVER CRISIS,GLOBAL;JP,880000,660000,,,,
89,Mecharashi,GLOBAL;CN;JP;TW/HK/MO,660000,650000,,,,
90,The Eminence in Shadow RPG,GLOBAL;JP,1190000,600000,,,,
91,FAIRY TAIL Wizard Chronicle,GLOBAL,1000000,600000,,,,
92,KAIJU NO. 8 THE GAME,GLOBAL,700000,600000,,,,
93,Sword of Convallaria,GLOBAL;CN;JP;KR;TW/HK/MO,677500,572500,,,,
94,Girl Wars,GLOBAL;JP;KR;TW/HK/MO,628000,566000,,,,
95,Echocalypse: Scarlet Covenant,GLOBAL;JP,770000,550000,,,,
96,Touhou LostWord,GLOBAL;JP,1090000,470000,,,,
97,Etheria Restart,GLOBAL;CN;JP,355000,365000,,,,
98,Morimens,GLOBAL;JP;TW/HK/MO,308000,350000,,,,
99,Stella Sora,GLOBAL;CN;JP;KR;TW/HK/MO,556000,297500,,,,
100,Lost Sword,GLOBAL;KR,370000,260000,,,,
101,Genesis War,GLOBAL;KR;TW/HK/MO,301000,260000,,,,
102,Aether Gazer,CN;GLOBAL;KR;TW/HK/MO,438000,201500,,,,
103,Tower of Fantasy,GLOBAL;CN;KR;TW/HK/MO,295500,172750,,,,
104,Destiny: Rising,GLOBAL;CN;TW/HK/MO,324000,164750,,,,
105,Guardian Tales,GLOBAL;CN;JP;KR,154500,124000,,,,
106,Nekopara Sekai Connect,GLOBAL,120000,120000,,,,
107,Anchor Panic,GLOBAL;CN;KR;TW/HK/MO,161000,71500,,,,
108,Resonance Solstice,GLOBAL;CN;JP;KR;TW/HK/MO,84500,65500,,,,
109,Realms of Pixels,GLOBAL,60000,60000,,,,
110,Girls' Frontline,GLOBAL;JP;KR;TW/HK/MO,67000,40000,,,,
111,Ash Echoes,GLOBAL;CN;JP,65000,29500,,,,
112,Higan: Eruthyll,GLOBAL;CN;TW/HK/MO,24750,21750,,,,
113,Snowbreak: Containment Zone,CN;GLOBAL,67500,21750,,,,
114,Star Sailors,GLOBAL,2000,21000,,,,
115,ALLfiring,GLOBAL,40000,15000,,,,
116,Neural Cloud,CN;GLOBAL;JP,6750,14750,,,,
117,Silver and Blood,CN;GLOBAL;JP,12750,8750,,,,
118,E.T.E Chronicle,GLOBAL;JP,4000,4000,,,,
119,Counter:Side,GLOBAL,7000,2000,,,,
120,IDOLM@STER Shiny Colors Song For Prism,JP,600000,,,,,
